"table_name","column_name","data_type","is_nullable"
"campaign","id_campaign","uuid","NO"
"campaign","created_date","timestamp without time zone","YES"
"campaign","updated_date","timestamp without time zone","YES"
"campaign","campaign_name","character varying","NO"
"campaign","expected_gsimt_decision","character varying","NO"
"campaign","expected_benef_decision","character varying","YES"
"campaign","status","character varying","NO"
"campaign","started_at","timestamp without time zone","YES"
"campaign","end_at","timestamp without time zone","YES"
"campaign","failure_reason","text","YES"
"campaign","total_messages","integer","NO"
"campaign","successful_messages","integer","NO"
"campaign","failed_messages","integer","NO"
"campaign","failure_rate","numeric","NO"
"campaign","version","character varying","YES"
"campaign","indexed","boolean","NO"
"campaign_message","id","uuid","NO"
"campaign_message","created_date","timestamp without time zone","YES"
"campaign_message","updated_date","timestamp without time zone","YES"
"campaign_message","campaign_id","uuid","NO"
"campaign_message","message008_id","uuid","NO"
"campaign_message","gsimt_message002_id","uuid","YES"
"campaign_message","benef_message002_id","uuid","YES"
"campaign_message","msg_id","character varying","YES"
"campaign_message","expected_gsimt_decision","character varying","NO"
"campaign_message","expected_benef_decision","character varying","YES"
"campaign_message","motif_combination_id","bigint","YES"
"campaign_message","rjct_percentage","integer","YES"
"campaign_message","status","character varying","NO"
"campaign_message","current_step","character varying","NO"
"campaign_message","failure_step","character varying","YES"
"campaign_message","actual_gsimt_decision","character varying","YES"
"campaign_message","actual_benef_decision","character varying","YES"
"campaign_message","decision","character varying","YES"
"campaign_message","nboftxs","integer","YES"
"campaign_message","nboftxs_acpt","integer","YES"
"campaign_message","nboftxs_rjct","integer","YES"
"campaign_message","nboftxs_acpt_gsimt","integer","YES"
"campaign_message","nboftxs_rjct_gsimt","integer","YES"
"campaign_message","nboftxs_acpt_benef","integer","YES"
"campaign_message","nboftxs_rjct_benef","integer","YES"
"campaign_message","sum_amount","bigint","YES"
"campaign_message","currency","character varying","YES"
"campaign_message","bic_sender","character varying","YES"
"campaign_message","bic_receiver","character varying","YES"
"campaign_message","code_bank_sender","character varying","YES"
"campaign_message","code_bank_receiver","character varying","YES"
"campaign_message","type","character varying","YES"
"campaign_message","failure_reason","text","YES"
"campaign_message","scenario_hash","character varying","YES"
"message","id_message","uuid","NO"
"message","created_date","timestamp without time zone","YES"
"message","updated_date","timestamp without time zone","YES"
"message","status","character varying","NO"
"message","valid","boolean","YES"
"message","type","character varying","YES"
"message","name_pacs","character varying","YES"
"message","direction","character varying","YES"
"message","content","bytea","YES"
"message","checksum","character varying","YES"
"message","checksum_calculated","character varying","YES"
"message","msgid","character varying","YES"
"message","credttm","timestamp without time zone","YES"
"message","instgagt_fininstnid_bicfi","character varying","YES"
