MessageId,EndToEndId,TxDateTime,StatusTimestamp,ProcessingTimeSecs,IntrBkSttlmDt,InstdAmt,Currency,DbtrAgtBIC,CdtrAgtBIC,DbtrCountry,CdtrCountry,PurposeCode,TxSts,RejectionReason
MSG-20251115-F7CA0B72,E2E-A34F167AF8,2025-01-21T09:01:42,2025-01-21T09:01:43,1,2025-01-21,1631.69,USD,LOYDGB21,BNPAFRPP,GB,FR,TAXS,ACSP,
MSG-20251115-D3B721A5,E2E-D1832A65F9,2025-01-19T14:02:10,2025-01-19T14:02:16,6,2025-01-19,900.74,GBP,STBGGB2L,BNPAFRPP,GB,FR,SUPP,ACSP,
MSG-20251115-E241BD90,E2E-F67956ACBA,2025-01-23T13:47:52,2025-01-23T13:47:56,4,2025-01-23,1841.16,USD,STBGGB2L,SOGEFRPP,GB,FR,LOAN,ACSP,
MSG-20251115-2D3FBE09,E2E-994DE895C7,2025-01-25T15:10:53,2025-01-25T15:11:00,7,2025-01-25,3708.65,USD,LOYDGB21,BNPAFRPP,GB,FR,LOAN,ACSP,
MSG-20251115-13DF659B,E2E-E9AEF6E6DA,2025-01-04T09:25:56,2025-01-04T09:25:58,2,2025-01-04,842.26,GBP,SOGEFRPP,HSBCGB2L,FR,GB,PENS,ACSP,
MSG-20251115-74F6506B,E2E-E917C01262,2025-01-24T14:36:36,2025-01-24T14:36:41,5,2025-01-24,842.27,GBP,NWBKGB2L,COBADEFF,GB,DE,LOAN,ACSP,
MSG-20251115-B14D5FA0,E2E-24DE1FACBA,2025-01-23T09:03:07,2025-01-23T09:03:20,13,2025-01-23,3879.15,USD,DEUTDEFF,HSBCGB2L,DE,GB,GDSV,ACSP,
MSG-20251115-77932AE3,E2E-9D6DB529E5,2025-01-28T09:25:56,2025-01-28T09:26:05,9,2025-01-28,1536.41,EUR,NWBKGB2L,LOYDGB21,GB,GB,DIVI,ACSP,
MSG-20251115-FF7167E1,E2E-5572A208FA,2025-01-12T16:45:45,2025-01-12T16:45:56,11,2025-01-12,646.37,EUR,LOYDGB21,CITIUS33,GB,US,SUPP,ACSP,
MSG-20251115-F7AF558F,E2E-1D4678CD03,2025-01-15T14:18:25,2025-01-15T14:18:39,14,2025-01-15,1692.65,USD,NWBKGB2L,BNPAFRPP,GB,FR,BEXP,ACSP,
MSG-20251115-10847BA7,E2E-D58EC1BD36,2025-01-27T09:54:57,2025-01-27T09:55:03,6,2025-01-27,649.11,EUR,LOYDGB21,SOGEFRPP,GB,FR,LOAN,ACSP,
MSG-20251115-B90AA1A7,E2E-30E0FC79F9,2025-01-21T14:27:00,2025-01-21T14:27:17,17,2025-01-21,755.53,USD,LOYDGB21,DEUTDEFF,GB,DE,DIVI,ACSP,
MSG-20251115-ECE3A4BD,E2E-43D45C5F74,2025-01-24T10:29:14,2025-01-24T10:29:20,6,2025-01-24,1330.85,USD,LOYDGB21,RABONL2U,GB,NL,LOAN,ACSP,
MSG-20251115-0DBA2983,E2E-CD0DE8A7EE,2025-01-25T09:58:47,2025-01-25T09:58:54,7,2025-01-26,260.01,GBP,HSBCGB2L,CHASGB2L,GB,GB,TREA,ACSP,
MSG-20251115-719F9BAA,E2E-9EBA3E828C,2025-01-20T09:26:16,2025-01-20T09:26:18,2,2025-01-20,268.42,EUR,STBGGB2L,CITIUS33,GB,US,DIVI,ACSP,
MSG-20251115-2439151D,E2E-F2EB32F668,2025-01-22T10:51:15,2025-01-22T10:51:24,9,2025-01-23,605.71,EUR,MONZGB2L,DEUTDEFF,GB,DE,PENS,ACSP,
MSG-20251115-90C250F9,E2E-A1DF03A252,2025-01-01T13:59:47,2025-01-01T13:59:51,4,2025-01-01,487.72,USD,BNPAFRPP,DEUTDEFF,FR,DE,TAXS,ACSP,
MSG-20251115-BD5FFBF4,E2E-0EF4161004,2025-01-27T13:34:39,2025-01-27T13:34:49,10,2025-01-27,1410.07,USD,HSBCGB2L,DEUTDEFF,GB,DE,GDSV,ACSP,
MSG-20251115-C6741792,E2E-72BEB71949,2025-01-20T11:33:21,2025-01-20T11:33:31,10,2025-01-20,525.52,GBP,COBADEFF,BNPAFRPP,DE,FR,SUPP,ACSP,
MSG-20251115-EF5BFADA,E2E-868FFFD13D,2025-01-08T10:05:22,2025-01-08T10:05:25,3,2025-01-09,369.22,GBP,BNPAFRPP,LOYDGB21,FR,GB,DIVI,ACSP,
MSG-20251115-685A1DB2,E2E-D85E404C4B,2025-01-18T16:18:05,2025-01-18T16:18:20,15,2025-01-19,3542.26,USD,BNPAFRPP,COBADEFF,FR,DE,LOAN,ACSP,
MSG-20251115-29DCF94C,E2E-D4F60C2D20,2025-01-22T13:25:29,2025-01-22T13:25:48,19,2025-01-22,766.59,EUR,LOYDGB21,INGBNL2A,GB,NL,BEXP,ACSP,
MSG-20251115-9E633438,E2E-BBFF0F4D24,2025-01-11T09:40:09,2025-01-11T09:40:28,19,2025-01-11,1157.51,USD,BARCGB22,CITIUS33,GB,US,GDSV,ACSP,
MSG-20251115-C120CDFD,E2E-9EE25806DA,2025-01-08T09:02:08,2025-01-08T09:02:18,10,2025-01-08,331.18,EUR,NWBKGB2L,CITIUS33,GB,US,SUPP,ACSP,
MSG-20251115-C5BEA117,E2E-B3908D80BC,2025-01-18T16:49:22,2025-01-18T16:49:25,3,2025-01-18,709.45,USD,MONZGB2L,SOGEFRPP,GB,FR,DIVI,ACSP,
MSG-20251115-EFA654D7,E2E-958E5359AF,2025-01-04T09:44:59,2025-01-04T09:45:17,18,2025-01-04,970.34,EUR,MONZGB2L,INGBNL2A,GB,NL,PENS,ACSP,
MSG-20251115-1212D58A,E2E-2EB68E7779,2025-01-02T14:49:42,2025-01-02T14:49:48,6,2025-01-02,401.14,EUR,LOYDGB21,SOGEFRPP,GB,FR,SUPP,ACSP,
MSG-20251115-B855B94A,E2E-96E89FC423,2025-01-14T16:19:00,2025-01-14T16:19:10,10,2025-01-14,1167.93,EUR,INGBNL2A,MONZGB2L,NL,GB,GDSV,ACSP,
MSG-20251115-2DDAF6CF,E2E-1F3CDE91C3,2025-01-02T13:36:54,2025-01-02T13:37:11,17,2025-01-03,651.68,GBP,DEUTDEFF,BNPAFRPP,DE,FR,SUPP,ACSP,
MSG-20251115-2905ED30,E2E-C2F37E1D61,2025-01-16T14:14:35,2025-01-16T14:14:47,12,2025-01-16,732.02,EUR,BARCGB22,COBADEFF,GB,DE,SALA,ACSP,
MSG-20251115-A4BA7C15,E2E-8060F3C7A4,2025-01-30T15:53:35,2025-01-30T15:53:55,20,2025-01-30,589.22,EUR,CHASGB2L,RABONL2U,GB,NL,TAXS,ACSP,
MSG-20251115-C3A9A0B7,E2E-315C0B07A0,2025-01-07T11:14:51,2025-01-07T11:15:05,14,2025-01-07,3628.57,GBP,NWBKGB2L,DEUTDEFF,GB,DE,BEXP,ACSP,
MSG-20251115-B1E14313,E2E-1C8533AF58,2025-01-19T14:34:19,2025-01-19T14:34:35,16,2025-01-19,1084.86,USD,STBGGB2L,DEUTDEFF,GB,DE,TREA,ACSP,
MSG-20251115-5FDFCF20,E2E-1CBAFF3DC8,2025-01-03T10:04:38,2025-01-03T10:04:44,6,2025-01-03,470.52,USD,STBGGB2L,INGBNL2A,GB,NL,GDSV,ACSP,
MSG-20251115-3D3CDDF0,E2E-CE963FCDCB,2025-01-20T09:28:37,2025-01-20T09:28:50,13,2025-01-20,2117.59,USD,NWBKGB2L,BNPAFRPP,GB,FR,BEXP,ACSP,
MSG-20251115-A227E454,E2E-E6A8F4830F,2025-01-08T11:27:01,2025-01-08T11:27:20,19,2025-01-08,422.17,GBP,HSBCGB2L,INGBNL2A,GB,NL,TAXS,ACSP,
MSG-20251115-9222C237,E2E-74CB1384A7,2025-01-15T10:38:26,2025-01-15T10:38:43,17,2025-01-15,1148.49,GBP,STBGGB2L,CITIUS33,GB,US,SUPP,ACSP,
MSG-20251115-0EFD0F49,E2E-BE55C0FC4C,2025-01-30T11:04:41,2025-01-30T11:04:47,6,2025-01-30,251.7,GBP,MONZGB2L,SOGEFRPP,GB,FR,PENS,ACSP,
MSG-20251115-879516F5,E2E-ECD8BAEC48,2025-01-22T15:37:51,2025-01-22T15:37:58,7,2025-01-22,354.34,EUR,DEUTDEFF,SOGEFRPP,DE,FR,SUPP,ACSP,
MSG-20251115-12685E75,E2E-19F4720B21,2025-01-29T09:50:40,2025-01-29T09:51:00,20,2025-01-29,1283.68,USD,STBGGB2L,BNPAFRPP,GB,FR,TREA,ACSP,
MSG-20251115-DE240526,E2E-721C559FF2,2025-01-07T13:43:17,2025-01-07T13:43:33,16,2025-01-07,1505.57,EUR,HSBCGB2L,INGBNL2A,GB,NL,BEXP,ACSP,
MSG-20251115-374B14E6,E2E-7DDF38C6D0,2025-01-21T14:56:37,2025-01-21T14:56:56,19,2025-01-21,1012.28,EUR,HSBCGB2L,DEUTDEFF,GB,DE,SALA,ACSP,
MSG-20251115-101468A7,E2E-F62F2D780B,2025-01-06T13:30:09,2025-01-06T13:30:21,12,2025-01-06,999.73,USD,BARCGB22,CITIUS33,GB,US,LOAN,ACSP,
MSG-20251115-D4CA7F4A,E2E-CF71239126,2025-01-18T09:56:58,2025-01-18T09:56:59,1,2025-01-18,727.22,EUR,LOYDGB21,DEUTDEFF,GB,DE,BEXP,RJCT,AM04
MSG-20251115-0B14E5E9,E2E-759696E79D,2025-01-12T15:58:45,2025-01-12T15:58:49,4,2025-01-12,352.49,GBP,LOYDGB21,BNPAFRPP,GB,FR,PENS,ACSP,
MSG-20251115-595BB687,E2E-E2E66AC5C3,2025-01-25T10:59:42,2025-01-25T10:59:45,3,2025-01-25,542.46,EUR,DEUTDEFF,BNPAFRPP,DE,FR,TREA,ACSP,
MSG-20251115-F96273C2,E2E-1EE755C51E,2025-01-29T14:01:41,2025-01-29T14:01:49,8,2025-01-29,718.78,GBP,SOGEFRPP,HSBCGB2L,FR,GB,PENS,ACSP,
MSG-20251115-A31DE830,E2E-CF3624FC8F,2025-01-09T16:53:45,2025-01-09T16:54:01,16,2025-01-09,2554.72,USD,BARCGB22,RABONL2U,GB,NL,SUPP,ACSP,
MSG-20251115-358F6794,E2E-EF0727E535,2025-01-07T15:31:25,2025-01-07T15:31:31,6,2025-01-07,1142.0,EUR,BNPAFRPP,LOYDGB21,FR,GB,TAXS,ACSP,
MSG-20251115-A225E1A2,E2E-1123006EE6,2025-01-22T16:27:12,2025-01-22T16:27:20,8,2025-01-23,261.35,EUR,RABONL2U,NWBKGB2L,NL,GB,TAXS,RJCT,AM05
MSG-20251115-1A411CFF,E2E-FCF8E2BA4B,2025-01-22T15:36:36,2025-01-22T15:36:54,18,2025-01-22,1126.49,EUR,NWBKGB2L,DEUTDEFF,GB,DE,SALA,ACSP,
MSG-20251115-4961F1F3,E2E-7721AE3B33,2025-01-02T09:40:43,2025-01-02T09:40:54,11,2025-01-02,685.7,EUR,COBADEFF,MONZGB2L,DE,GB,PENS,ACSP,
MSG-20251115-675002C3,E2E-4316E129D5,2025-01-13T10:12:58,2025-01-13T10:13:01,3,2025-01-13,559.0,EUR,DEUTDEFF,STBGGB2L,DE,GB,SALA,RJCT,AG01
MSG-20251115-1FDE947A,E2E-8D9DCB7A43,2025-01-12T14:04:46,2025-01-12T14:04:51,5,2025-01-12,1788.87,USD,CHASGB2L,HSBCGB2L,GB,GB,PENS,ACSP,
MSG-20251115-83E9F909,E2E-29AAEECCC3,2025-01-24T11:34:37,2025-01-24T11:34:47,10,2025-01-24,1847.71,EUR,CHASGB2L,SOGEFRPP,GB,FR,LOAN,ACSP,
