OriginalMessageId,TxSts,RejectionReason,StatusTimestamp
MSG-20251115-F7CA0B72,ACSP,,2025-01-21T09:01:43
MSG-20251115-D3B721A5,ACSP,,2025-01-19T14:02:16
MSG-20251115-E241BD90,ACSP,,2025-01-23T13:47:56
MSG-20251115-2D3FBE09,ACSP,,2025-01-25T15:11:00
MSG-20251115-13DF659B,ACSP,,2025-01-04T09:25:58
MSG-20251115-74F6506B,ACSP,,2025-01-24T14:36:41
MSG-20251115-B14D5FA0,ACSP,,2025-01-23T09:03:20
MSG-20251115-77932AE3,ACSP,,2025-01-28T09:26:05
MSG-20251115-FF7167E1,ACSP,,2025-01-12T16:45:56
MSG-20251115-F7AF558F,ACSP,,2025-01-15T14:18:39
MSG-20251115-10847BA7,ACSP,,2025-01-27T09:55:03
MSG-20251115-B90AA1A7,ACSP,,2025-01-21T14:27:17
MSG-20251115-ECE3A4BD,ACSP,,2025-01-24T10:29:20
MSG-20251115-0DBA2983,ACSP,,2025-01-25T09:58:54
MSG-20251115-719F9BAA,ACSP,,2025-01-20T09:26:18
MSG-20251115-2439151D,ACSP,,2025-01-22T10:51:24
MSG-20251115-90C250F9,ACSP,,2025-01-01T13:59:51
MSG-20251115-BD5FFBF4,ACSP,,2025-01-27T13:34:49
MSG-20251115-C6741792,ACSP,,2025-01-20T11:33:31
MSG-20251115-EF5BFADA,ACSP,,2025-01-08T10:05:25
MSG-20251115-685A1DB2,ACSP,,2025-01-18T16:18:20
MSG-20251115-29DCF94C,ACSP,,2025-01-22T13:25:48
MSG-20251115-9E633438,ACSP,,2025-01-11T09:40:28
MSG-20251115-C120CDFD,ACSP,,2025-01-08T09:02:18
MSG-20251115-C5BEA117,ACSP,,2025-01-18T16:49:25
MSG-20251115-EFA654D7,ACSP,,2025-01-04T09:45:17
MSG-20251115-1212D58A,ACSP,,2025-01-02T14:49:48
MSG-20251115-B855B94A,ACSP,,2025-01-14T16:19:10
MSG-20251115-2DDAF6CF,ACSP,,2025-01-02T13:37:11
MSG-20251115-2905ED30,ACSP,,2025-01-16T14:14:47
MSG-20251115-A4BA7C15,ACSP,,2025-01-30T15:53:55
MSG-20251115-C3A9A0B7,ACSP,,2025-01-07T11:15:05
MSG-20251115-B1E14313,ACSP,,2025-01-19T14:34:35
MSG-20251115-5FDFCF20,ACSP,,2025-01-03T10:04:44
MSG-20251115-3D3CDDF0,ACSP,,2025-01-20T09:28:50
MSG-20251115-A227E454,ACSP,,2025-01-08T11:27:20
MSG-20251115-9222C237,ACSP,,2025-01-15T10:38:43
MSG-20251115-0EFD0F49,ACSP,,2025-01-30T11:04:47
MSG-20251115-879516F5,ACSP,,2025-01-22T15:37:58
MSG-20251115-12685E75,ACSP,,2025-01-29T09:51:00
MSG-20251115-DE240526,ACSP,,2025-01-07T13:43:33
MSG-20251115-374B14E6,ACSP,,2025-01-21T14:56:56
MSG-20251115-101468A7,ACSP,,2025-01-06T13:30:21
MSG-20251115-D4CA7F4A,RJCT,AM04,2025-01-18T09:56:59
MSG-20251115-0B14E5E9,ACSP,,2025-01-12T15:58:49
MSG-20251115-595BB687,ACSP,,2025-01-25T10:59:45
MSG-20251115-F96273C2,ACSP,,2025-01-29T14:01:49
MSG-20251115-A31DE830,ACSP,,2025-01-09T16:54:01
MSG-20251115-358F6794,ACSP,,2025-01-07T15:31:31
MSG-20251115-A225E1A2,RJCT,AM05,2025-01-22T16:27:20
MSG-20251115-1A411CFF,ACSP,,2025-01-22T15:36:54
MSG-20251115-4961F1F3,ACSP,,2025-01-02T09:40:54
MSG-20251115-675002C3,RJCT,AG01,2025-01-13T10:13:01
MSG-20251115-1FDE947A,ACSP,,2025-01-12T14:04:51
MSG-20251115-83E9F909,ACSP,,2025-01-24T11:34:47
MSG-20251115-0C945BF2,ACSP,,2025-01-07T14:45:31
MSG-20251115-45C092B0,ACSP,,2025-01-10T11:14:38
MSG-20251115-7893F10B,ACSP,,2025-01-26T15:50:27
MSG-20251115-7B8D942E,ACSP,,2025-01-27T15:16:12
MSG-20251115-199CD52A,ACSP,,2025-01-02T16:32:28
MSG-20251115-541B4178,ACSP,,2025-01-16T14:16:42
MSG-20251115-5A4D648D,RJCT,AM04,2025-01-08T16:55:07
MSG-20251115-EAFC3B45,ACSP,,2025-01-15T16:55:01
MSG-20251115-6DF578CC,ACSP,,2025-01-27T10:30:27
